study_hours,attendance,previous_score,assignment_score,sleep_hours,performance
8,95,92,94,8,Good
7,90,88,90,7,Good
8,93,90,92,8,Good
7,88,85,87,7,Good
6,85,82,84,7,Good
7,92,89,91,8,Good
8,96,94,95,8,Good
6,87,83,85,7,Good
7,91,87,89,7,Good
8,94,91,93,8,Good
6,86,84,86,7,Good
7,89,86,88,7,Good
8,97,95,96,8,Good
7,93,90,92,8,Good
6,88,85,87,7,Good
8,92,89,91,7,Good
7,90,87,89,8,Good
6,84,81,83,7,Good
7,86,83,85,7,Good
8,95,93,94,8,Good
7,91,88,90,7,Good
6,89,86,88,7,Good
8,94,92,93,8,Good
7,87,84,86,7,Good
6,85,82,84,7,Good
8,96,94,95,8,Good
7,92,89,91,8,Good
6,88,85,87,7,Good
7,90,87,89,7,Good
8,93,91,92,8,Good
6,87,84,86,7,Good
7,89,86,88,7,Good
8,95,93,94,8,Good
7,91,88,90,8,Good
6,86,83,85,7,Good
7,88,85,87,7,Good
8,94,92,93,8,Good
6,85,82,84,7,Good
7,92,89,91,7,Good
8,96,94,95,8,Good
7,90,87,89,7,Good
6,89,86,88,7,Good
8,93,91,92,8,Good
7,87,84,86,7,Good
6,84,81,83,7,Good
8,95,93,94,8,Good
7,91,88,90,8,Good
6,88,85,87,7,Good
7,94,91,93,8,Good
8,97,95,96,8,Good
5,78,75,77,6,Average
4,72,68,70,6,Average
5,76,73,75,6,Average
4,70,67,69,6,Average
5,74,71,73,6,Average
4,68,65,67,6,Average
5,80,77,79,7,Average
4,75,72,74,6,Average
5,77,74,76,6,Average
4,71,68,70,6,Average
5,73,70,72,6,Average
4,69,66,68,6,Average
5,79,76,78,7,Average
4,74,71,73,6,Average
5,76,73,75,6,Average
4,70,67,69,6,Average
5,78,75,77,6,Average
4,72,69,71,6,Average
5,75,72,74,6,Average
4,73,70,72,6,Average
5,77,74,76,6,Average
4,71,68,70,6,Average
5,79,76,78,7,Average
4,68,65,67,6,Average
5,74,71,73,6,Average
4,76,73,75,6,Average
5,72,69,71,6,Average
4,70,67,69,6,Average
5,78,75,77,6,Average
4,75,72,74,6,Average
5,73,70,72,6,Average
4,71,68,70,6,Average
5,77,74,76,6,Average
4,69,66,68,6,Average
5,80,77,79,7,Average
4,74,71,73,6,Average
5,76,73,75,6,Average
4,72,69,71,6,Average
5,78,75,77,6,Average
4,70,67,69,6,Average
5,75,72,74,6,Average
4,73,70,72,6,Average
5,79,76,78,7,Average
4,68,65,67,6,Average
5,74,71,73,6,Average
4,76,73,75,6,Average
5,72,69,71,6,Average
4,71,68,70,6,Average
5,77,74,76,6,Average
4,75,72,74,6,Average
3,65,62,64,5,Average
3,63,60,62,5,Average
3,67,64,66,6,Average
3,61,58,60,5,Average
2,58,55,57,5,At Risk
2,54,51,53,5,At Risk
3,60,57,59,5,At Risk
2,56,53,55,5,At Risk
1,52,49,51,4,At Risk
2,50,47,49,5,At Risk
1,48,45,47,4,At Risk
2,55,52,54,5,At Risk
1,53,50,52,4,At Risk
2,51,48,50,5,At Risk
1,49,46,48,4,At Risk
2,57,54,56,5,At Risk
1,54,51,53,4,At Risk
2,52,49,51,5,At Risk
1,50,47,49,4,At Risk
2,56,53,55,5,At Risk
1,48,45,47,4,At Risk
2,54,51,53,5,At Risk
1,51,48,50,4,At Risk
2,53,50,52,5,At Risk
1,49,46,48,4,At Risk
2,55,52,54,5,At Risk
1,52,49,51,4,At Risk
2,50,47,49,5,At Risk
1,47,44,46,4,At Risk
2,58,55,57,5,At Risk
1,53,50,52,4,At Risk
2,51,48,50,5,At Risk
1,48,45,47,4,At Risk
2,54,51,53,5,At Risk
1,50,47,49,4,At Risk
2,56,53,55,5,At Risk
1,52,49,51,4,At Risk
2,49,46,48,5,At Risk
1,51,48,50,4,At Risk
2,55,52,54,5,At Risk
1,53,50,52,4,At Risk
2,50,47,49,5,At Risk
1,48,45,47,4,At Risk
2,57,54,56,5,At Risk
1,54,51,53,4,At Risk
2,52,49,51,5,At Risk
1,49,46,48,4,At Risk
2,56,53,55,5,At Risk
1,51,48,50,4,At Risk
2,53,50,52,5,At Risk
1,50,47,49,4,At Risk
7,89,85,87,7,Good
6,83,80,82,7,Good
8,91,88,90,7,Good
7,85,82,84,7,Good
6,87,84,86,7,Good
8,93,90,92,8,Good
7,88,85,87,7,Good
6,84,81,83,7,Good
7,90,87,89,7,Good
8,94,91,93,8,Good
5,79,76,78,6,Average
4,73,70,72,6,Average
5,77,74,76,6,Average
4,71,68,70,6,Average
5,75,72,74,6,Average
4,69,66,68,6,Average
5,78,75,77,6,Average
4,74,71,73,6,Average
3,66,63,65,5,Average
3,64,61,63,5,Average
2,59,56,58,5,At Risk
2,55,52,54,5,At Risk
1,51,48,50,4,At Risk
2,53,50,52,5,At Risk
1,49,46,48,4,At Risk
2,57,54,56,5,At Risk
1,52,49,51,4,At Risk
2,50,47,49,5,At Risk
8,92,89,91,8,Good
7,86,83,85,7,Good
6,88,85,87,7,Good
8,95,92,94,8,Good
7,91,88,90,7,Good
6,85,82,84,7,Good
5,76,73,75,6,Average
4,72,69,71,6,Average
5,78,75,77,6,Average
4,70,67,69,6,Average
3,65,62,64,5,Average
3,63,60,62,5,Average
2,58,55,57,5,At Risk
2,54,51,53,5,At Risk
1,50,47,49,4,At Risk
2,56,53,55,5,At Risk
